year,match_id,stadium_name,city,country,latitude,longitude,elevation_m,team,opponent,team_elo,opp_elo,elo_diff,adapted_flag,rest_days,travel_km,temp_c,humidity,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,team_xg_1h,team_xg_2h
2022,2022_59,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,France,Australia,NA,NA,NA,FALSE,-1,NA,25,60,2,2,1,0,4.883144214,10.072713969
2022,2022_59,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Australia,France,NA,NA,NA,FALSE,-1,NA,25,60,1,0,2,2,0.6613009567,0.916870549
2022,2022_60,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,England,IR Iran,2050,NA,NA,FALSE,-1,NA,25,60,3,3,0,1,2.342743325,6.393112874
2022,2022_60,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,IR Iran,England,NA,2050,NA,NA,-1,NA,25,60,0,1,3,3,NA,NA
2022,2022_61,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Senegal,Netherlands,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,2,2.8067435545,1.467984917
2022,2022_61,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Netherlands,Senegal,NA,NA,NA,FALSE,-1,NA,25,60,0,2,0,0,1.612287024,7.299000016000001
2022,2022_62,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,United States,Wales,NA,1439,NA,NA,-1,NA,NA,NA,1,0,0,0,2.2389452326,1.699592709
2022,2022_62,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Wales,United States,1439,NA,NA,FALSE,-1,NA,NA,NA,0,0,1,0,0.384377818,1.834602883
2022,2022_63,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Qatar,Ecuador,NA,NA,NA,FALSE,-1,NA,25,60,0,0,1,0,0.1482584495,1.259733249
2022,2022_63,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Ecuador,Qatar,NA,NA,NA,FALSE,-1,NA,25,60,1,0,0,0,1.172035751,2.6346926394
2018,2018_64,Olimpiyskiy stadion Luzhniki,NA,NA,NA,NA,NA,France,Croatia,NA,NA,NA,FALSE,5,NA,NA,NA,0,2,1,1,5.4872626877,3.311314789
2018,2018_64,Olimpiyskiy stadion Luzhniki,NA,NA,NA,NA,NA,Croatia,France,NA,NA,NA,FALSE,4,NA,NA,NA,1,1,0,2,3.9191701575,15.5582526227
2018,2018_65,Gazprom Arena,NA,NA,NA,NA,NA,Belgium,England,NA,2050,NA,FALSE,4,NA,NA,NA,1,1,0,0,4.922290933999999,7.8021353555
2018,2018_65,Gazprom Arena,NA,NA,NA,NA,NA,England,Belgium,2050,NA,NA,FALSE,3,NA,NA,NA,0,0,1,1,7.019251801999999,8.7782519063
2018,2018_66,Olimpiyskiy stadion Luzhniki,NA,NA,NA,NA,NA,Croatia,England,NA,2050,NA,FALSE,4,NA,NA,NA,0,2,1,0,3.9191701575,15.5582526227
2018,2018_66,Olimpiyskiy stadion Luzhniki,NA,NA,NA,NA,NA,England,Croatia,2050,NA,NA,FALSE,4,NA,NA,NA,1,0,0,2,7.019251801999999,8.7782519063
2018,2018_67,Gazprom Arena,NA,NA,NA,NA,NA,France,Belgium,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,0,0,5.4872626877,3.311314789
2018,2018_67,Gazprom Arena,NA,NA,NA,NA,NA,Belgium,France,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,1,4.922290933999999,7.8021353555
2018,2018_68,Cosmos Arena,NA,NA,NA,NA,NA,Sweden,England,NA,2050,NA,FALSE,4,NA,NA,NA,0,0,1,1,3.09572424,4.269706376
2018,2018_68,Cosmos Arena,NA,NA,NA,NA,NA,England,Sweden,2050,NA,NA,FALSE,4,NA,NA,NA,1,1,0,0,7.019251801999999,8.7782519063
2018,2018_69,Olimpiyskiy Stadion Fisht,NA,NA,NA,NA,NA,Russia,Croatia,NA,NA,NA,FALSE,6,NA,NA,NA,1,1,1,1,1.252688792,6.1786866
2018,2018_69,Olimpiyskiy Stadion Fisht,NA,NA,NA,NA,NA,Croatia,Russia,NA,NA,NA,FALSE,6,NA,NA,NA,1,1,1,1,3.9191701575,15.5582526227
2018,2018_70,Stadion Nizhny Novgorod,NA,NA,NA,NA,NA,Uruguay,France,NA,NA,NA,FALSE,6,NA,NA,NA,0,0,1,1,3.187262748,4.2127269248
2018,2018_70,Stadion Nizhny Novgorod,NA,NA,NA,NA,NA,France,Uruguay,NA,NA,NA,FALSE,6,NA,NA,NA,1,1,0,0,5.4872626877,3.311314789
