year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,date,stadium_name,latitude,longitude,wc_year,rest_days,prev_lat,prev_lon,travel_km
2010,2010_248,Algeria,0,0,0,1,2010-06-13,Peter Mokaba Stadium,,,2010,-1,,,
2010,2010_235,Algeria,0,0,0,0,2010-06-18,Cape Town Stadium,,,2010,5,,,
2010,2010_217,Algeria,0,0,0,1,2010-06-23,Loftus Versfeld Stadium,,,2010,5,,,
2014,2014_175,Algeria,0,0,0,2,2014-06-17,Estádio Governador Magalhães Pinto,,,2014,-1,,,
2014,2014_161,Algeria,3,1,0,2,2014-06-22,Estádio José Pinheiro Borba,,,2014,5,,,
2014,2014_147,Algeria,0,1,1,0,2014-06-26,Estádio Joaquim Américo Guimarães,,,2014,4,,,
2014,2014_139,Algeria,0,1,0,2,2014-06-30,Estádio José Pinheiro Borba,,,2014,4,,,
2006,2006_314,Angola,0,0,1,0,2006-06-11,RheinEnergieSTADION,,,2006,-1,,,
2006,2006_299,Angola,0,0,0,0,2006-06-16,HDI-Arena,,,2006,5,,,
2006,2006_281,Angola,0,1,0,1,2006-06-21,Red Bull Arena,,,2006,5,,,
2002,2002_376,Argentina,0,1,0,0,2002-06-02,Kashima Soccer Stadium,,,2002,-1,,,
2002,2002_363,Argentina,0,0,0,0,2002-06-07,Sapporo Dome,,,2002,5,,,
2002,2002_344,Argentina,0,1,0,1,2002-06-12,Miyagi Stadium,,,2002,5,,,
2006,2006_317,Argentina,2,0,0,1,2006-06-10,Volksparkstadion,,,2006,-1,,,
2006,2006_297,Argentina,3,3,0,0,2006-06-16,Veltins-Arena,,,2006,6,,,
2006,2006_283,Argentina,0,0,0,0,2006-06-21,Commerzbank-Arena,,,2006,5,,,
2006,2006_271,Argentina,1,0,1,0,2006-06-24,Red Bull Arena,,,2006,3,,,
2006,2006_262,Argentina,0,1,0,1,2006-06-30,Olympiastadion Berlin,52.5173885,13.3951309,2006,6,,,
2010,2010_252,Argentina,1,0,0,0,2010-06-12,Emirates Airline Park,,,2010,-1,,,
2010,2010_236,Argentina,1,2,1,0,2010-06-17,Soccer City,-26.205,28.049722,2010,5,,,
2010,2010_223,Argentina,0,2,0,0,2010-06-22,Peter Mokaba Stadium,,,2010,5,-26.205,28.049722,
2010,2010_205,Argentina,2,1,0,1,2010-06-27,Soccer City,-26.205,28.049722,2010,5,,,
2010,2010_196,Argentina,0,0,1,3,2010-07-03,Cape Town Stadium,,,2010,6,-26.205,28.049722,
2014,2014_183,Argentina,0,1,0,1,2014-06-15,Estadio Jornalista Mário Filho,,,2014,-1,,,
2014,2014_163,Argentina,0,1,0,0,2014-06-21,Estádio Governador Magalhães Pinto,,,2014,6,,,
2014,2014_149,Argentina,2,1,1,1,2014-06-25,Estádio José Pinheiro Borba,,,2014,4,,,
2014,2014_136,Argentina,0,1,0,0,2014-07-01,Arena Corinthians,-23.5506507,-46.6333824,2014,6,,,
2014,2014_132,Argentina,1,0,0,0,2014-07-05,Estádio Nacional de Brasília,,,2014,4,-23.5506507,-46.6333824,
2014,2014_130,Argentina,0,0,0,0,2014-07-09,Arena Corinthians,-23.5506507,-46.6333824,2014,4,,,
2014,2014_128,Argentina,0,0,0,1,2014-07-13,Estadio Jornalista Mário Filho,,,2014,4,-23.5506507,-46.6333824,
2018,2018_121,Argentina,1,0,1,0,2018-06-16,Otkrytie Arena,,,2018,-1,,,
2018,2018_107,Argentina,0,0,0,3,2018-06-21,Stadion Nizhny Novgorod,,,2018,5,,,
2018,2018_91,Argentina,1,1,0,0,2018-06-26,Gazprom Arena,,,2018,5,,,
2018,2018_78,Argentina,1,2,0,3,2018-06-30,Kazan Arena,55.7946485,49.1115022,2018,4,,,
2022,2022_56,Argentina,0,0,0,2,2022-11-22,Lusail Iconic Stadium,,,2022,-1,,,
2022,2022_43,Argentina,0,2,0,0,2022-11-26,Lusail Iconic Stadium,,,2022,4,,,
2022,2022_27,Argentina,0,2,0,0,2022-11-30,Stadium 974,,,2022,4,,,
2022,2022_15,Argentina,1,1,0,0,2022-12-03,Ahmed bin Ali Stadium,,,2022,3,,,
2022,2022_7,Argentina,1,0,0,2,2022-12-09,Lusail Iconic Stadium,,,2022,6,,,
2022,2022_3,Argentina,1,1,0,0,2022-12-13,Lusail Iconic Stadium,,,2022,4,,,
2022,2022_0,Argentina,1,1,0,1,2022-12-18,Lusail Iconic Stadium,,,2022,5,,,
2006,2006_309,Australia,0,3,1,0,2006-06-12,Fritz-Walter-Stadion,,,2006,-1,,,
2006,2006_292,Australia,0,0,0,2,2006-06-18,Allianz Arena,48.1371079,11.5753822,2006,6,,,
2006,2006_279,Australia,0,1,1,1,2006-06-22,Mercedes-Benz Arena,,,2006,4,48.1371079,11.5753822,
2006,2006_266,Australia,0,0,0,0,2006-06-26,Fritz-Walter-Stadion,,,2006,4,,,
2010,2010_250,Australia,0,0,2,2,2010-06-13,Moses Mabhida Stadium,-29.861825,31.009909,2010,-1,,,
2010,2010_231,Australia,1,0,0,0,2010-06-19,Royal Bafokeng Stadium,-25.3487816,27.0950203,2010,6,-29.861825,31.009909,632.8419150588766
2010,2010_219,Australia,0,2,0,1,2010-06-23,Mbombela Stadium,-25.4729094,30.9772719,2010,4,-25.3487816,27.0950203,390.1531094025166
2014,2014_190,Australia,1,0,2,1,2014-06-13,Arena Pantanal,,,2014,-1,,,
2014,2014_172,Australia,1,0,1,2,2014-06-18,Estádio José Pinheiro Borba,,,2014,5,,,
2014,2014_156,Australia,0,0,1,2,2014-06-23,Estádio Joaquim Américo Guimarães,,,2014,5,,,
2018,2018_120,Australia,0,0,0,0,2018-06-16,Kazan Arena,55.7946485,49.1115022,2018,-1,,,
2018,2018_105,Australia,0,0,1,0,2018-06-21,Cosmos Arena,,,2018,5,55.7946485,49.1115022,
2018,2018_88,Australia,0,0,1,1,2018-06-26,Olimpiyskiy Stadion Fisht,,,2018,5,,,
2022,2022_59,Australia,1,0,2,2,2022-11-22,Al Janoub Stadium,25.0037453,51.4103338,2022,-1,,,
2022,2022_40,Australia,1,0,0,0,2022-11-26,Al Janoub Stadium,25.0037453,51.4103338,2022,4,25.0037453,51.4103338,0.0
2022,2022_24,Australia,0,1,0,0,2022-11-30,Al Janoub Stadium,25.0037453,51.4103338,2022,4,25.0037453,51.4103338,0.0
2022,2022_15,Australia,0,0,1,1,2022-12-03,Ahmed bin Ali Stadium,,,2022,3,25.0037453,51.4103338,
2002,2002_371,Belgium,0,2,0,2,2002-06-04,Saitama Stadium 2002,,,2002,-1,,,
2002,2002_353,Belgium,1,0,1,0,2002-06-10,Ōita Bank Dome,,,2002,6,,,
2002,2002_337,Belgium,1,2,0,2,2002-06-14,Shizuoka Stadium Ecopa,,,2002,4,,,
2002,2002_331,Belgium,0,0,0,2,2002-06-17,NOEVIR Stadium Kobe,,,2002,3,,,
2014,2014_175,Belgium,0,2,0,0,2014-06-17,Estádio Governador Magalhães Pinto,,,2014,-1,,,
2014,2014_160,Belgium,0,1,0,0,2014-06-22,Estadio Jornalista Mário Filho,,,2014,5,,,
2014,2014_146,Belgium,0,1,0,0,2014-06-26,Arena Corinthians,-23.5506507,-46.6333824,2014,4,,,
2014,2014_137,Belgium,0,2,0,1,2014-07-01,Itaipava Arena Fonte Nova,,,2014,5,-23.5506507,-46.6333824,
2014,2014_132,Belgium,0,0,1,0,2014-07-05,Estádio Nacional de Brasília,,,2014,4,,,
2018,2018_115,Belgium,0,3,0,0,2018-06-18,Olimpiyskiy Stadion Fisht,,,2018,-1,,,
2018,2018_99,Belgium,2,2,1,1,2018-06-23,Otkrytie Arena,,,2018,5,,,
2018,2018_82,Belgium,0,1,0,0,2018-06-28,Kaliningrad Stadium,54.710128,20.5105838,2018,5,,,
2018,2018_75,Belgium,0,3,0,2,2018-07-02,Rostov Arena,,,2018,4,54.710128,20.5105838,
2018,2018_71,Belgium,1,0,0,1,2018-07-06,Kazan Arena,55.7946485,49.1115022,2018,4,,,
2018,2018_67,Belgium,0,0,0,1,2018-07-10,Gazprom Arena,,,2018,4,55.7946485,49.1115022,
2018,2018_65,Belgium,1,1,0,0,2018-07-14,Gazprom Arena,,,2018,4,,,
2022,2022_55,Belgium,1,0,0,0,2022-11-23,Ahmed bin Ali Stadium,,,2022,-1,,,
2022,2022_37,Belgium,0,0,0,2,2022-11-27,Al Thumama Stadium,25.3108807,51.5081812,2022,4,,,
2022,2022_21,Belgium,0,0,0,0,2022-12-01,Ahmed bin Ali Stadium,,,2022,4,25.3108807,51.5081812,
2014,2014_183,Bosnia and Herzegovina,0,1,0,1,2014-06-15,Estadio Jornalista Mário Filho,,,2014,-1,,,
2014,2014_165,Bosnia and Herzegovina,0,0,1,0,2014-06-21,Arena Pantanal,,,2014,6,,,
2014,2014_148,Bosnia and Herzegovina,1,2,0,1,2014-06-25,Itaipava Arena Fonte Nova,,,2014,4,,,
2002,2002_374,Brazil,0,1,1,0,2002-06-03,Munsu Cup Stadium,,,2002,-1,,,
2002,2002_360,Brazil,2,1,0,0,2002-06-08,Jeju World Cup Stadium,,,2002,5,,,
2002,2002_340,Brazil,3,2,1,1,2002-06-13,Suwon World Cup Stadium,37.2633325,127.0287472,2002,5,,,
2002,2002_331,Brazil,0,2,0,0,2002-06-17,NOEVIR Stadium Kobe,,,2002,4,37.2633325,127.0287472,
2002,2002_326,Brazil,1,1,1,0,2002-06-21,Daejeon World Cup Stadium,,,2002,4,,,
2002,2002_322,Brazil,0,1,0,0,2002-06-26,Saitama Stadium 2002,,,2002,5,,,
2002,2002_320,Brazil,0,2,0,0,2002-06-30,Nissan Stadium,,,2002,4,,,
2006,2006_308,Brazil,1,0,0,0,2006-06-13,Olympiastadion Berlin,52.5173885,13.3951309,2006,-1,,,
2006,2006_292,Brazil,0,2,0,0,2006-06-18,Allianz Arena,48.1371079,11.5753822,2006,5,52.5173885,13.3951309,503.86008184339755
2006,2006_278,Brazil,1,3,1,0,2006-06-22,Signal Iduna Park,51.5142273,7.4652789,2006,4,48.1371079,11.5753822,477.270821964756
2006,2006_264,Brazil,2,1,0,0,2006-06-27,Signal Iduna Park,51.5142273,7.4652789,2006,5,51.5142273,7.4652789,0.0
2006,2006_261,Brazil,0,0,0,1,2006-07-01,Commerzbank-Arena,,,2006,4,51.5142273,7.4652789,
2010,2010_244,Brazil,0,2,0,1,2010-06-15,Emirates Airline Park,,,2010,-1,,,
2010,2010_229,Brazil,1,2,0,1,2010-06-20,Soccer City,-26.205,28.049722,2010,5,,,
2010,2010_208,Brazil,0,0,0,0,2010-06-25,Moses Mabhida Stadium,-29.861825,31.009909,2010,5,-26.205,28.049722,499.69571323952306
2010,2010_203,Brazil,2,1,0,0,2010-06-28,Emirates Airline Park,,,2010,3,-29.861825,31.009909,
2010,2010_198,Brazil,1,0,0,2,2010-07-02,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,4,,,
2014,2014_191,Brazil,1,1,0,0,2014-06-12,Arena Corinthians,-23.5506507,-46.6333824,2014,-1,,,
2014,2014_176,Brazil,0,0,0,0,2014-06-17,Estádio Castelão,,,2014,5,-23.5506507,-46.6333824,
2014,2014_159,Brazil,2,2,1,0,2014-06-23,Estádio Nacional de Brasília,,,2014,6,,,
2014,2014_142,Brazil,1,0,1,0,2014-06-28,Estádio Governador Magalhães Pinto,,,2014,5,,,
2014,2014_135,Brazil,1,1,0,0,2014-07-04,Estádio Castelão,,,2014,6,,,
2014,2014_131,Brazil,0,1,5,2,2014-07-08,Estádio Governador Magalhães Pinto,,,2014,4,,,
2014,2014_129,Brazil,0,0,1,1,2014-07-12,Estádio Nacional de Brasília,,,2014,4,,,
2018,2018_119,Brazil,1,0,0,1,2018-06-17,Rostov Arena,,,2018,-1,,,
2018,2018_102,Brazil,0,2,0,0,2018-06-22,Gazprom Arena,,,2018,5,,,
2018,2018_87,Brazil,1,1,0,0,2018-06-27,Otkrytie Arena,,,2018,5,,,
2018,2018_74,Brazil,0,2,0,0,2018-07-02,Cosmos Arena,,,2018,5,,,
2018,2018_71,Brazil,0,1,1,0,2018-07-06,Kazan Arena,55.7946485,49.1115022,2018,4,,,
2022,2022_51,Brazil,0,2,0,0,2022-11-24,Lusail Iconic Stadium,,,2022,-1,,,
2022,2022_34,Brazil,0,1,0,0,2022-11-28,Stadium 974,,,2022,4,,,
2022,2022_18,Brazil,0,0,0,1,2022-12-02,Lusail Iconic Stadium,,,2022,4,,,
2022,2022_11,Brazil,3,0,0,1,2022-12-05,Stadium 974,,,2022,3,,,
2022,2022_6,Brazil,0,1,0,1,2022-12-09,Education City Stadium,25.0819602,51.158416,2022,4,,,
2002,2002_380,Cameroon,1,0,0,1,2002-06-01,Denka Big Swan Stadium,,,2002,-1,,,
2002,2002_365,Cameroon,0,1,0,0,2002-06-06,Saitama Stadium 2002,,,2002,5,,,
2002,2002_351,Cameroon,0,0,0,2,2002-06-11,Shizuoka Stadium Ecopa,,,2002,5,,,
2010,2010_246,Cameroon,0,0,1,0,2010-06-14,Toyota Stadium,,,2010,-1,,,
2010,2010_232,Cameroon,1,0,1,1,2010-06-19,Loftus Versfeld Stadium,,,2010,5,,,
2010,2010_215,Cameroon,0,0,1,1,2010-06-24,Cape Town Stadium,,,2010,5,,,
2014,2014_188,Cameroon,0,0,0,1,2014-06-13,Arena das Dunas,,,2014,-1,,,
2014,2014_174,Cameroon,0,0,1,3,2014-06-18,Arena da Amazônia,,,2014,5,,,
2014,2014_159,Cameroon,1,0,2,2,2014-06-23,Estádio Nacional de Brasília,,,2014,5,,,
2022,2022_48,Cameroon,0,0,0,1,2022-11-24,Al Janoub Stadium,25.0037453,51.4103338,2022,-1,,,
2022,2022_32,Cameroon,1,2,2,1,2022-11-28,Al Janoub Stadium,25.0037453,51.4103338,2022,4,25.0037453,51.4103338,0.0
2022,2022_18,Cameroon,0,1,0,0,2022-12-02,Lusail Iconic Stadium,,,2022,4,25.0037453,51.4103338,
2022,2022_55,Canada,0,0,1,0,2022-11-23,Ahmed bin Ali Stadium,,,2022,-1,,,
2022,2022_38,Canada,1,0,2,2,2022-11-27,Khalifa International Stadium,25.3108807,51.5081812,2022,4,,,
2022,2022_20,Canada,0,0,2,0,2022-12-01,Al Thumama Stadium,25.3108807,51.5081812,2022,4,25.3108807,51.5081812,0.0
2010,2010_239,Chile,1,0,0,0,2010-06-16,Mbombela Stadium,-25.4729094,30.9772719,2010,-1,,,
2010,2010_225,Chile,0,1,0,0,2010-06-21,Nelson Mandela Bay Stadium,-33.9618598,25.6186731,2010,5,-25.4729094,30.9772719,1075.9981043316666
2010,2010_210,Chile,0,1,2,0,2010-06-25,Loftus Versfeld Stadium,,,2010,4,-33.9618598,25.6186731,
2010,2010_203,Chile,0,0,2,1,2010-06-28,Emirates Airline Park,,,2010,3,,,
2014,2014_190,Chile,2,1,1,0,2014-06-13,Arena Pantanal,,,2014,-1,,,
2014,2014_173,Chile,2,0,0,0,2014-06-18,Estadio Jornalista Mário Filho,,,2014,5,,,
2014,2014_157,Chile,0,0,0,2,2014-06-23,Arena Corinthians,-23.5506507,-46.6333824,2014,5,,,
2014,2014_142,Chile,1,0,1,0,2014-06-28,Estádio Governador Magalhães Pinto,,,2014,5,-23.5506507,-46.6333824,
2002,2002_370,China PR,0,0,0,2,2002-06-04,Guus Hiddink Stadium,,,2002,-1,,,
2002,2002_360,China PR,0,0,2,1,2002-06-08,Jeju World Cup Stadium,,,2002,4,,,
2002,2002_341,China PR,0,0,2,1,2002-06-13,Seoul World Cup Stadium,37.5666791,126.9782914,2002,5,,,
2014,2014_184,Colombia,1,2,0,0,2014-06-14,Estádio Governador Magalhães Pinto,,,2014,-1,,,
2014,2014_169,Colombia,0,2,0,1,2014-06-19,Estádio Nacional de Brasília,,,2014,5,,,
2014,2014_154,Colombia,0,3,1,0,2014-06-24,Arena Pantanal,,,2014,5,,,
2014,2014_143,Colombia,1,1,0,0,2014-06-28,Estadio Jornalista Mário Filho,,,2014,4,,,
2014,2014_135,Colombia,0,0,1,1,2014-07-04,Estádio Castelão,,,2014,6,,,
2018,2018_111,Colombia,1,0,0,1,2018-06-19,Mordovia Arena,,,2018,-1,,,
2018,2018_98,Colombia,1,2,0,0,2018-06-24,Kazan Arena,55.7946485,49.1115022,2018,5,,,
2018,2018_81,Colombia,0,1,0,0,2018-06-28,Cosmos Arena,,,2018,4,55.7946485,49.1115022,
2018,2018_73,Colombia,0,1,0,0,2018-07-03,Otkrytie Arena,,,2018,5,,,
2002,2002_370,Costa Rica,0,2,0,0,2002-06-04,Guus Hiddink Stadium,,,2002,-1,,,
2002,2002_356,Costa Rica,0,1,0,1,2002-06-09,Incheon Munhak Stadium,,,2002,5,,,
2002,2002_340,Costa Rica,1,1,3,2,2002-06-13,Suwon World Cup Stadium,37.2633325,127.0287472,2002,4,,,
2006,2006_318,Costa Rica,1,1,2,2,2006-06-09,Allianz Arena,48.1371079,11.5753822,2006,-1,,,
2006,2006_300,Costa Rica,0,0,1,2,2006-06-15,Veltins-Arena,,,2006,6,48.1371079,11.5753822,
2006,2006_284,Costa Rica,1,0,1,1,2006-06-20,HDI-Arena,,,2006,5,,,
2014,2014_185,Costa Rica,0,3,0,0,2014-06-14,Estádio Castelão,,,2014,-1,,,
2014,2014_166,Costa Rica,1,0,0,0,2014-06-20,Itaipava Arena Pernambuco,,,2014,6,,,
2014,2014_152,Costa Rica,0,0,0,0,2014-06-24,Estádio Governador Magalhães Pinto,,,2014,4,,,
2014,2014_141,Costa Rica,0,1,0,1,2014-06-29,Itaipava Arena Pernambuco,,,2014,5,,,
2014,2014_133,Costa Rica,0,0,0,0,2014-07-05,Itaipava Arena Fonte Nova,,,2014,6,,,
2018,2018_117,Costa Rica,0,0,0,1,2018-06-17,Cosmos Arena,,,2018,-1,,,
2018,2018_102,Costa Rica,0,0,0,2,2018-06-22,Gazprom Arena,,,2018,5,,,
2018,2018_86,Costa Rica,0,1,1,1,2018-06-27,Stadion Nizhny Novgorod,,,2018,5,,,
2022,2022_54,Costa Rica,0,0,2,4,2022-11-23,Al Thumama Stadium,25.3108807,51.5081812,2022,-1,,,
2022,2022_36,Costa Rica,0,1,0,0,2022-11-27,Ahmed bin Ali Stadium,,,2022,4,25.3108807,51.5081812,
2022,2022_22,Costa Rica,0,1,1,3,2022-12-01,Al Bayt Stadium,25.7567822,51.3269839,2022,4,,,
2002,2002_373,Croatia,0,0,0,0,2002-06-03,Denka Big Swan Stadium,,,2002,-1,,,
2002,2002_359,Croatia,0,2,0,1,2002-06-08,Kashima Soccer Stadium,,,2002,5,,,
2002,2002_343,Croatia,0,0,0,1,2002-06-13,Nissan Stadium,,,2002,5,,,
2006,2006_308,Croatia,0,0,1,0,2006-06-13,Olympiastadion Berlin,52.5173885,13.3951309,2006,-1,,,
2006,2006_291,Croatia,0,0,0,0,2006-06-18,Max-Morlock-Stadion,,,2006,5,52.5173885,13.3951309,
2006,2006_279,Croatia,1,1,0,1,2006-06-22,Mercedes-Benz Arena,,,2006,4,,,
2014,2014_191,Croatia,0,0,1,1,2014-06-12,Arena Corinthians,-23.5506507,-46.6333824,2014,-1,,,
2014,2014_174,Croatia,1,3,0,0,2014-06-18,Arena da Amazônia,,,2014,6,-23.5506507,-46.6333824,
2014,2014_158,Croatia,0,1,0,3,2014-06-23,Itaipava Arena Pernambuco,,,2014,5,,,
2018,2018_123,Croatia,0,0,0,0,2018-06-16,Kaliningrad Stadium,54.710128,20.5105838,2018,-1,,,
2018,2018_107,Croatia,0,3,0,0,2018-06-21,Stadion Nizhny Novgorod,,,2018,5,54.710128,20.5105838,
