year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h
2006,2006_282,Serbia and Montenegro,3,0,0,1
2006,2006_283,Netherlands,0,0,0,0
2006,2006_283,Argentina,0,0,0,0
2006,2006_284,Costa Rica,1,0,1,1
2006,2006_284,Poland,1,1,1,0
2006,2006_285,Ecuador,0,0,2,1
2006,2006_285,Germany,2,1,0,0
2006,2006_286,Paraguay,0,1,0,0
2006,2006_286,Trinidad and Tobago,0,0,0,1
2006,2006_287,Sweden,0,2,1,1
2006,2006_287,England,1,1,0,2
2006,2006_288,Togo,0,0,1,1
2006,2006_288,Switzerland,1,1,0,0
2006,2006_289,Saudi Arabia,0,0,2,2
2006,2006_289,Ukraine,2,2,0,0
2006,2006_290,Spain,0,2,1,0
2006,2006_290,Tunisia,1,0,0,2
2006,2006_291,Japan,0,0,0,0
2006,2006_291,Croatia,0,0,0,0
2006,2006_292,Brazil,0,2,0,0
2006,2006_292,Australia,0,0,0,2
2006,2006_293,France,1,0,0,1
2006,2006_293,Korea Republic,0,1,1,0
2006,2006_294,Portugal,0,1,0,0
2006,2006_294,IR Iran,0,0,0,1
2006,2006_295,Czech Republic,0,0,1,1
2006,2006_295,Ghana,1,1,0,0
2006,2006_296,Italy,1,0,0,0
2006,2006_296,United States,0,0,1,0
2006,2006_297,Argentina,3,3,0,0
2006,2006_297,Serbia and Montenegro,0,0,3,3
2006,2006_298,Netherlands,2,0,1,0
2006,2006_298,Côte d'Ivoire,1,0,2,0
2006,2006_299,Mexico,0,0,0,0
2006,2006_299,Angola,0,0,0,0
2006,2006_300,Ecuador,1,2,0,0
2006,2006_300,Costa Rica,0,0,1,2
2006,2006_301,England,0,2,0,0
2006,2006_301,Trinidad and Tobago,0,0,0,2
2006,2006_302,Sweden,0,1,0,0
2006,2006_302,Paraguay,0,0,0,1
2006,2006_303,Spain,2,1,0,0
2006,2006_303,Ukraine,0,0,2,1
2006,2006_304,Tunisia,1,1,0,2
2006,2006_304,Saudi Arabia,0,2,1,1
2006,2006_305,Germany,0,1,0,0
2006,2006_305,Poland,0,0,0,1
2006,2006_306,Korea Republic,0,2,1,0
2006,2006_306,Togo,1,0,0,2
2006,2006_307,France,0,0,0,0
2006,2006_307,Switzerland,0,0,0,0
2006,2006_308,Brazil,1,0,0,0
2006,2006_308,Croatia,0,0,1,0
2006,2006_309,Australia,0,3,1,0
2006,2006_309,Japan,1,0,0,3
2006,2006_310,United States,0,0,2,1
2006,2006_310,Czech Republic,2,1,0,0
2006,2006_311,Italy,1,1,0,0
2006,2006_311,Ghana,0,0,1,1
2006,2006_312,Serbia and Montenegro,0,0,1,0
2006,2006_312,Netherlands,1,0,0,0
2006,2006_313,Mexico,1,2,1,0
2006,2006_313,IR Iran,1,0,1,2
2006,2006_314,Angola,0,0,1,0
2006,2006_314,Portugal,1,0,0,0
2006,2006_315,England,0,0,0,0
2006,2006_315,Paraguay,0,0,0,0
2006,2006_316,Trinidad and Tobago,0,0,0,0
2006,2006_316,Sweden,0,0,0,0
2006,2006_317,Argentina,2,0,0,1
2006,2006_317,Côte d'Ivoire,0,1,2,0
2006,2006_318,Germany,2,2,1,1
2006,2006_318,Costa Rica,1,1,2,2
2006,2006_319,Poland,0,0,1,1
2006,2006_319,Ecuador,1,1,0,0
2002,2002_320,Germany,0,0,0,2
2002,2002_320,Brazil,0,2,0,0
2002,2002_321,Korea Republic,1,1,3,0
2002,2002_321,Türkiye,3,0,1,1
2002,2002_322,Brazil,0,1,0,0
2002,2002_322,Türkiye,0,0,0,1
2002,2002_323,Germany,0,1,0,0
2002,2002_323,Korea Republic,0,0,0,1
2002,2002_324,Spain,0,0,0,0
2002,2002_324,Korea Republic,0,0,0,0
2002,2002_325,Senegal,0,0,0,1
2002,2002_325,Türkiye,0,1,0,0
2002,2002_326,England,1,0,1,1
2002,2002_326,Brazil,1,1,1,0
2002,2002_327,Germany,1,0,0,0
2002,2002_327,United States,0,0,1,0
2002,2002_328,Japan,0,0,1,0
2002,2002_328,Türkiye,1,0,0,0
